Response,Codes,physiological/emotional,Vicarious,Mastery,Social Persuasion,Utility Value,Media Triggered,Event Triggered,Intrinsic Value,Intrinsic Value (Astronomy),Attainment Value,Intrinsic Social,Cost (Emotional),Cost (Outside Effort),Cost (Loss),Cost (Task Effort),
"When I took my first physics class in college"","" my sophomore year. I got an A in physics in High School. In college I got a B in my first physics class. I enjoyed physics and the challenge it provided. I have always had an easy time in school. Physics academically challenged me in a way that the other sciences and liberal classes didn`t. I started to attend SPS meetings after changing to a Physics Major my junior year. I have taken many more Physics classes and willgraduate next year in May with a BS in physics. I did summerreseach this year and presented my project at the SPS Texas Sectional Meeting. My summer research was in Space Physics and I also attended a Plamsa Physics Conference this year. Iplan to go to graduate school.","Physiological/Emotional, Intrinsic (Social), Event Triggered, Utility Value",1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,
"I loved physics in high school"","" but was concerned about matching career opportunities to my ethical values and deprioritized physics as a result. I took an integrated sciences intro course my first year of college and fell in love with statistical mechanics as an approach to understanding the world. I also very much enjoyed Calc III and DiffEq so I chose to do a biophysics major and a philosophy of science minor. Doing a biomaterials internship the summer after my sophomore year (as a result of CuWiP networking"","" actually) solidified my interest in laboratory work and graduate school.","Intrinsic Value, Cost (Loss of Valued Alternatives), Event Triggered, Intrinsic Value (Biophysics)",0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,intrinsic value biophysics
"I became interested in High School"","" and entered Cornell thinking that a major in Physics (concentrating in astrophysics) was a possibility. I felt extremely welcomed and supported by the physics faculty and peers from the beginning. My coursework in physics during my Freshman and Sophomore years confirmed this interest - also participated in research in biophysics which was a wonderful experience"","" although I found I was more interested in cosmological issues rather than biological ones. The significance and impact of the research questions in cosmology are really what has motivated me to pursue a career as an academic physicist.","Intrinsic (Social), Event Triggered, Intrinsic Value (Cosmology), Utility Value",0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,intrinsic value cosmology
"I switched to physics from a pre-medical degree track after taking Physics I at my university. I was very interested in the concepts and I enjoyed the associated labs"","" there was something incredibly appealing about designing an experiment and changing variables just to see how the system would react. Although the physics major itself has been very challenging and not what I expected"","" I am so excited to continue what I do and try to better the field from the inside.","Intrinsic Value, Physiological/Emotional",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,
"I took intro physics sophomore year and really loved it. I`ve had a lot of encouragement from friends and professors"","" which has been very important.","Social Persuasion, Physiological/Emotional",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,
Read a important book.,Media Triggered,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,
"I didn???t get turned to physics until my senior year of high school"","" previously"","" and for most of my life"","" I had wanted to be a pastry chef. I had a brilliant high school teacher who really instilled a love for physics in me and"","" when he found out that he had done that"","" gave me applications for internships and opportunities. He really encouraged me into the world of physics"","" and I actually spent that summer in the QuarkNet program where he really helped me out.","Vicarious Experience, Social Persuasion, Event Triggered",0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,
Concepts of physics just seemed interesting enough for me to want to pursue a career in physics.,"Intrinsic Value, Utility Value",0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,
"I had always been interested in astrophysics and astronomy growing up and in high school"","" but I never felt like I would be able to be a physics major because I felt I wasn`t smart enough. Once at CMU"","" I listened to a talk by the Dean of the College of Science (who is an amazing lady) and she said she always sees students choosing to study things that they`re passionate about and not necessarily the things they`re comfortable with or good at. After listening to her speech I decided to take the leap and switched my major from chemistry to physics and I haven`t looked back.","Intrinsic Value (Astronomy), Cost (Emotional), Event Triggered, Vicarious Experience",0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,
"My high school teacher introduced me to physics and at first"","" I could not see myself as a physicist even though I loved the subject. However"","" I overcame my fears and followed my dreams. I am so glad that I did.","Social Persuasion, Intrinsic Value",0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,
I really liked physics when I had it in high school and my teachers and family encouraged me to pursue it further. Fellow physics students helped me pursue my desire to understand the universe and my research was very good in applying what I learn to the world.,"Intrinsic Value, Social Persuasion, Event Triggered",0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,
"I was interested in studying science in college"","" because I felt it was a challenge. I loved math as a kid"","" because it didn`t come easily and I had to work for it. I thought that because I didn`t possess many `natural` talents in science"","" that maybe this would give me the same thrill"","" and justify paying so much money to have someone teach it to me. I took a few survey courses in various disciplines"","" but it was an inspiring lecture on the first day of Dr. Walsh`s ""Energy and the Environment course at the UofM-TC that made me feel like I had found my place. It really was an instant knowing. I decided that I would be happy working at a coffee shop for the rest of my life as long as I could be qualified to sit at the same table with people like that professor","Physiological/Emotional, Event Triggered, Vicarious Experience",1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,
I have never taking physics or calculus before due to my school not offering it. I wanted to experience something new. I wanted to go to Gordon College even though I wanted to be an architect. I decided to take on engineering so I can soon master what I love.,"Utility Value, Intrinsic Value",0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,
I have been interested in astronomy from a young age. My parents bought me a telescope when I was five and facilitated my curiosity as I grew older by taking me to visit observatories around the country. Once I entered high school and took my first physics course I realized I had a second passion. After doing well in my senior physics course I chose to combine my curiosity about physics and astronomy.That is why I decided to be an astrophysics major.,"Intrinsic Value (Astronomy), Social Persuasion, Intrinsic Value",0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,
"I have been interested in the intersection of math and art for a long time and how this connection has dated back through history. For a while this manifested itself in architecture and city planning"","" however"","" I became more interested in alternative energy and this morphed into a curiosity about how these techniques worked physically and chemically. I enjoy studying physics because I can understand these processes in depth and I want to become an engineer so I can apply these concepts in the real world to help people. I`m currently really enjoying studying Quantum Mechanics because it is excitably not intuitive and unlike intro physics I`ve become so accustomed to.","Intrinsic Value, Utility Value, Physiological/Emotional",1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,
"The first time I considered pursuing physics was in my high school AP Chemistry class. In chemistry"","" we were discussing the double slit experiment"","" and I remember having so many questions and being completely fascinated by this seemingly impossible phenomenon. I began talking to the physics teachers at my school"","" and I found myself really enjoying discussions on physics - especially astrophysics. The following year"","" I enrolled in AP physics and advanced astronomy. Those two classes completely changed the career path I found myself following. I went from an intended medical researching career to an intended astrophysics/aerospace engineering career. I now feel like I have really found my passion in life. Since then"","" the University of Pittsburgh Department of Physics and Astronomy has given me so many opportunities to do research"","" attend conferences"","" and network in physics. I know that taking that leap my senior year of high school to switch intended majors was the best decision I have ever made.","Intrinsic Value, Social Persuasion, Intrinsic Value (Astronomy), Event Triggered",0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,
"I really enjoy the hands on experience working in laboratories offer. I choose physics because of this and its high integration of math"","" since I also enjoy math.","Physiological/Emotional, Intrinsic Value",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,
"I first became interested in physics when my dad and I would use his telescope to look at the stars. We also used to watch a lot of documentaries on space. When I finally took a physics class in my senior year of high school"","" I loved it! I also took the other physics class available in my school. I had a very positive experience with my teacher and I have had very good interactions with my professors at Siena college as well. These relationships have encouraged me to pursue physics.","Social Persuasion, Media Triggered, Intrinsic Value, Vicarious Experience, Intrinsic Value (Astronomy)",0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,
"IÕve always been a scientist. From a young age I questioned everything and wasnÕt satisfied until a proper answer explained all observations. The moment I read books on the universe i fell in love. I wanted to know why the universe works the way it does. From the subatomic to the expansion of space itself. Trying to understand this excites me in a profound way"","" and thatÕs how I know doing physics is where I belong.","Attainment Value, Intrinsic Value, Media Triggered, Physiological/Emotional",1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,
"To be honest"","" I`m still considering. I took an intro to physics course this semester not because I wanted to major in Physics but because it`s just fun. I`ve done some Physics in high school. Though my teacher wasn`t great"","" I enjoyed the subject. And Pomona`s Physics department is so helpful and welcoming that I`m considering majoring in Physics now. The courses are very interesting to start with (we start with modern Physics in the intro sequence so that it`s new for everyone"","" and I think it`s a really good approach to show people more possibilities in the field while building our confidence at the same time).","Intrinsic Value, Intrinsic (Social)",0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,
"My father is an engineer"","" so from a young age I was taught to not just accept the things that went on around me"","" but to also understand why and how they worked. Throughout school"","" math and science were my strongest subjects and naturally made sense. With these two factors"","" I knew I would most likely explore a career in science. It wasn`t until high school when I took my first physics course that I actually considered physics as a major. I had a wonderful physics teacher that taught me for both physics and AP physics. Going into college"","" I looked at a few other options for majors"","" but after researching careers in physics and the program at my university"","" I decided signing as a physics major would be the best option for myself.","Vicarious Experience, Social Persuasion, Mastery Experience, Utility Value",0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,
I took class in high school and in college I saw many signs that said Physics on it which helped keep it in my mind. Then I noticed the way my mind thought and the questions I often asked myself were physics based.,"Intrinsic Value, Attainment Value",0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,
"I was fortunate in that my high school had a planetarium. I took two of the three offered planetarium classes"","" and I have known since then that I wantedto study astrophysics. During the summer before my senior year of high school"","" I pursued the subject further by taking an astronomy course at my localcommunity college. After enrolling at Williams College"","" I took the intro-level physics and astronomy courses. Not only enjoying the material but also makingnew friends who shared my passion for physics and astronomy solidified my desire to major in astrophysics.","Intrinsic Value (Astronomy), Event Triggered, Intrinsic (Social)",0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,
"I was a chemistry major"","" but I found myself more engrossed with the physics courses and the physics research posters than with my own major"","" so I switched to physics. I liked the challenge my physics courses have presented even if I have not gotten the best grades. I grew up creating codes and solving them so I`m very happy that I get to solve problems for a living...when I find a job.","Intrinsic Value, Physiological/Emotional",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,
"I took a physics class in high school and had fun"","" though it was not what I wanted to do with my life. When I got to college"","" I wanted to go into politics. I quickly found out that politics was not the field for me"","" so I went back to physics.",Physiological/Emotional,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"My parents and what they exposed me to"","" both at home and at work.","Social Persuasion, Vicarious Experience",0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,
"As soon as I decided to pursue a career in a STEM field"","" I decided to take the calculus-based physic course.  While taken the course"","" I found myself absolutely fascinated by everything we were studying and I couldn`t imagine not finding some way to continue with physics in my career.  With the encouragement of a friend who is a physics major and my physics professor"","" I started exploring options that could combine my love of biology with my passion for physics.","Intrinsic Value, Social Persuasion, Utility Value",0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,
"In high school I took an interest to the subject matter in physics. I had always been good at math so physics was interesting to me. My high school physics teacher was not very good"","" however. He made me cry in front of the whole class for something completely unrelated to physics. Also"","" he failed to mention the due date for an assignment and the day of a test. After this I was reluctant to go into the physics field"","" but for some reason I decided to try a physics class in college. I figured I could always switch if I did not enjoy it. My physics professors at school have been wonderful. The material can be very difficult and the tests are by no means easy. However"","" I feel as if I have learned a lot about the world. I enjoy it.","Mastery Experience, Cost (Emotional), Vicarious Experience, Cost (Task Effort), Intrinsic Value, Physiological/Emotional",1,1,1,0,0,0,0,1,0,0,0,1,0,0,1,
"When I was in elementary school"","" there was a teacher that conducted an annual activity called `star lab`. Star Lab was a large inflatable dome (it fit inside a classroom)"","" and stars were projected onto the interior of the dome. She told my class about the constellations"","" and stars of particular interest. I thought it was the coolest"","" and looked forward to it every year.From a young age"","" math was my best subject. It wasn`t until I was in high school that I actually considered studying physics in college. There was a tv show called The Universe"","" that was of special interest to me. I watched every episode"","" and took notice of the passion that the scientists featured had for Astronomy. I thoughtthat they had the most exciting and inspiring jobs. I had a teacher/mentor that really encouraged me to pursuestudying Astrophysics because she knew how much it meant to me.After high school"","" I attended a community college for fouryears. I completed my Associate of Science in Mathematicsin May 2014. I transferred to the University of CaliforniaSanta Cruz in Fall 2014. I","Event Triggered, Mastery Experience, Media Triggered, Social Persuasion",0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,
"I think"","" since middle school"","" my favorite class has always been physics. So it is natural for me to take physics class in college and i feel passionate when i`m studying physics",Physiological/Emotional,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"I was initially a business major when I first started my undergraduate courses and only switched to physics my junior year. I have always been interested in space and astronomy"","" but I never really considered that as a career-- it was always more of a hobby. I realized that I would rather spend my life doing something that I was actually interested in rather than something that would just provide me a job. I was terrified switching to physics"","" but my university has such an awesome collection of professors and students that I never felt like I couldn`t ask for help. I am much happier now that I am studying something that I am actually interested in"","" and I can`t wait to hopefully continue learning in graduate school.","Intrinsic Value (Astronomy), Social Persuasion, Physiological/Emotional",1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,
"I`ve always been very interested in STEM"","" starting with my realization as a toddler that science is basically like understanding all the magic in the world. I was not deterred by the lack of women in physics or chemistry"","" but I`ve never been the sort of person to be told I cannot do something for reasons as arbitrary as being assigned female. I`m still new to many of the concepts I`m studying in physics now"","" and I`m not as strong with it as I am with chemistry"","" but I know that if I want to study physical chemistry"","" I need to master physics. Moreover"","" I need the strong mathematical foundation that a physics degree demands.I am not unfamiliar with the way men unthinkingly condescend to women who have better grades and work harder than them in the classroom"","" but I am still undeterred.","Intrinsic Value, Cost (Emotional)",0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,
I decided to pursue Mechanical Engineering because I wanted to pursue something that would make a change in the world. Engineering does just that.,Utility Value,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,
I had always been interested in science. When in elementary school I had a teacher tell me I would make a very good scientist. From there I considered that an option. Coming into high school I knew I wanted to focus on physics. While in high school physics classes one of my teachers was very enthusiastic which convinced me to study physics further so I could potentially share that enthusiasm with others.,"Intrinsic Value, Social Persuasion, Vicarious Exprerience",0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,
"Through most of my life"","" I was very indecisive about what I wanted to do. It started when I was young and wanted to be a cook"","" which was a short lived dream"","" followed by an interest in writing. Sadly"","" after discovering my lack of ability to write well"","" I moved on to science and math. My love affair for math started my first year in high school when I had a spunky math teacher that was able to get me excited about geometry. All I wanted to do was math and solve problems. I knew then that I wanted to solve problems for the rest of my life"","" but I didn???t know what field I would end up in. At first I thought about chemistry. I thought of maybe going into the medical field. Though after suffering through a year of AP chemistry"","" I couldn???t take it anymore. Luckily"","" my dad convinced me to give physics a try. I was very opposed to the idea at first because I was so set on chemistry at the time"","" but I thought why not. It turned out to be the best decision of my life. My teacher had a great passion for the subject and always added enthusiasm to the class and tried to get us more interested in the field. She was the one to suggest going to UW River Falls for my undergrad because she got her Masters in physics there. UW River Falls has given more opportunities than I could have ever dreamed of. I???ve learned so much through the year and a half that I have been here. I have been able to help overs with physics and math by becoming a tutor and learning assistant. I also have worked on the IceCube project where I learned just how nerdy I was. All I did for the summer was physics and hang out with people that had the same passions as me. My life has changed so much but I ???m more than glad for the direction that physics is taking me and I can???t wait to where I end up.","Vicarious Experience, Social Persuasion, Event Triggered",0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,
"When I first took AP Physics in high school"",""  I was completely blown away by its connection to mathematical concepts and I was utterly intrigued by its ability to predict and solve problems. I wasn`t good at it at all...but I loved it. I am also not the kind of person who easily turns away from a challenge. I have never been very confident in my abilities"","" but I do not like to lose. Physics seemed like something I would really enjoy"","" but my lack of confidence made me question my capability to pursue a degree in it. In fact"","" it wasn`t until talking with my mom that I decided I would! She saw the way my eyes lit up when I would come home from school and tell her what I learned"","" and she wasn`t going to let that flame die. In fact"","" I owe much of my success to my mom and my dad. Without their support"","" I don`t think I would be where I am today; just months away from getting my bachelors degree in physics! It has been anything but an easy ride (as anticipated)"","" but the friends I made along the way have made it much smoother and for them I am extremely grateful. Physics is hard. And being a woman in physics is even harder (I can`t even imagine how difficult it is for Black/Latina women). I think we need to focus more on encouraging others"","" like my family and friends have done for me. You don`t have to be a genius to get your degree in physics"","" you just have to believe that you are capable.","Intrinsic Value, Physiological/Emotional, Social Persuasion",1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,
"I`ve always been good at math"","" and in High school I developed special interest in Physics due to it`s many application.","Mastery Experience, Utility Value",0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,
"I wanted to be an engineer until the latter half of my senior year of high school. After having toured several college campuses"","" I found that I clicked more with the physics department than I did with the colleges of engineering. I knew that for my career"","" I wanted to attempt to discover -- previously"","" I had hoped to attempt to do so through making machines which would then"","" in turn"","" make discoveries. I had grand hopes of building space probes or rockets. It didn`t occur to me that I could instead pursue science until I began to interact with people within the field of physics"","" both students and professors alike. I found myself drawn both to the subject as a whole"","" the hope of discovery"","" and the people whom I could work alongside.","Social Persuasion, Intrinsic Value, Intrinsic (Social)",0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,
"As early as middle school"","" I found that there were many more boys than girls in my math and science classes. In my AP physics class in high school"","" I was one of two girls"","" out of about twenty-five students. This trend has continued throughout my studies in physics. Currently I am one of two female physics majors out of seventeen in my year. Although this can be discouraging"","" I have found that having a female role model can have a profoundly positive effect on a student`s decision to continue in physics. My high school physics teacher`s passion for physics and role as my mentor inspired me to think seriously about a career in physics. Moreover"","" she taught me to never give up and to recognize that if I was stuck on a problem"","" it was because the problem was hard"","" not because I was inherently bad at physics.","Cost (Emotional), Vicarious Experience, Social Persuasion",0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,
"My journey as a physics student has been rocky. Especially considering I do not have much family"","" advisors"","" except a few friends supporting me in my decision. I am not officially in the major yet"","" but I refuse to stop trying and working towards my goal. Many family"","" personal"","" and medical issues have arose to put me behind these past two years"","" so many people"","" out of realness"","" told me to stop perusing physics and do something else. But I have refused"","" and kept persevering anyways. I persevere because it makes me happy"","" it is a flame that has lit in me since I was 6. Also because I seem to inspire one of my older brothers"","" to have a want to go back to school so he can continue his dream of being an optometrist as he sees me struggling to achieve my goal.","Cost (Outside Effort), Physiological/Emotional, Utility Value",1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,
"I took my first physics class my sophomore year in high school and then I was hooked. I took AP Physics the following year"","" and my senior year in high school I was my old physics teacher`s teaching assistant. I first considered physics as a major because it was one of the few things I enjoyed in school. I always liked science"","" and physics wasalways the most fun"","" the most interesting choice. So"","" when I was applying for colleges"","" I startedto discover all of the possibilities that physics offers"","" and I decided it would be a good fit for me.I loved the subject"","" it interested me"","" and it was fun. I`m not sure what I want to do in the field yet"","" but it is very fun trying new things and figuring it out.","Physiological/Emotional, Intrinsic Value",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,
"I started considering physics in tenth grade"","" when I first took introductory physics"","" and I really enjoyed it. Specifically I really enjoyed the way it made me think about problems in different ways and from different perspectives. I took AP Physics 1 in my junior year and really disliked the class itself but I enjoyed the problems and the content. At that point I was considering both physics and history"","" but I was repeatedly advised to study physics because it had greater job prospects and financial opportunity. That summer I took an internship in a mechanical engineering lab"","" and decided that while I liked the physics aspect more than the engineering aspect"","" I really liked the research atmosphere and mindset and wanted to return to it in the future - this is when I decided I definitely wanted to go to grad school. The next year I took AP Physics C and loved it"","" and applied to college for physics. The classes in university so far have been very difficult because my background is relatively poor"","" but I`ve been enjoying it despite the difficulty"","" which definitely made me certain I want to continue majoring in physics.","Physiological/Emotional, Utility Value, Event Triggered",1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,
I decided to become a physicist because of my passion for space science and aeronautics.,Intrinsic Value (Astronomy),0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,
"I am a physics/astronomy major. Originally"","" I chose it because as a child I used to watch meteor showers with my grandmother. It has always been one of my best memories of her"","" and I wanted to better understand what we were looking at. In high school I came to realize how interconnected physics and astronomy are"","" so I started looking for degrees in both. After coming to college I realized that I liked my choice of major"","" and joined the local physics club to make me feel more involved.","Intrinsic Value (Astronomy), Social Persuasion, Intrinsic (Social)",0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,
"I went to a science summer camp after my sophomore year of high school. I got to take classes up at UNT and learned that science was fun! Once I got to take physics in high school"","" I loved it"","" so physics was a great choice for me.","Event Triggered, Physiological/Emotional, Intrinsic Value",1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,
I originally started out as an animal science major with the intention of becoming a vet. I decided that that wasn`t for me and wanted to do something that involved more math. I found physics to be particularly interesting and wanted to do more with it.,Intrinsic Value,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,
"I had wanted to be a journalist for quite some time"",""writing in some sort of a science field"","" but it wasn`t until senior year that I determined that science field would be physics. My high school physics teacher was actually a college-level professor who took the high school job when she moved with her husband for his work. She was impressed with my abilities and urged me to go into physics in college"","" unlike my classmates who felt I wasn`t smart enough to doso. I love doing physics so I followed my teacher`s adviceand looked for a college with a good physics and writing program"","" thus I came to be at Coe. The two years I`ve beenhere I`ve felt supported by faculty but at times I stilldon`t feel my classmates see my worth"","" but I will continueforward regardless.","Utility Value, Social Persuasion, Physiological/Emotional, Intrinsic (Social)",1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,
"I became initially interested in majoring in physics after taking physics in high school. I absolutely loved the class"","" and the material seemed to work well with how I thought. After taking the class"","" I also realized that many of the shows"","" books"","" and documentaries I saw were physics related. Through my introductory physics class in college"","" becoming friends with my fellow physics majors"","" and attending colloquiums"","" I became to think of myself as a physicist.","Intrinsic Value, Media Triggered, Attainment Value, Intrinsic (Social)",0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,
"I am planning on eventually going into astrophysics research. I`ve been interested in physics ever since fifth grade"","" when I found one of my mom`s old physics textbooks and was fascinated by what I read. My mom was herself a physics major"","" but she never got to finish her degree as she had to support my dad as he went through grad school. In middle school I discovered Star Trek"","" which is what first fostered my interest in space and interstellar travel. During high school I participated in a large number of astronomy related activities. I even started my own astronomy club at my high school. My mom has always been a huge supporter of my interest in astronomy and astrophysics"","" and her encouragement has really helped me along the way to getting my physics degree.","Intrinsic Value (Astronomy), Vicarious Experience, Social Persuasion, Media Triggered, Utility Value",0,1,0,1,1,1,0,0,1,0,0,0,0,0,0,
"My dad is an electrical engineer and encouraged me to take physics in high school. While in high school"","" I greatly enjoyed my physics courses"","" which led to the pursuit of a degree in physics.","Vicarious Experience, Social Persuasion, Physiological/Emotional",1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,
"I never thought that I would consider physics in my career because I was afraid that I would just be a failure. However"","" when I got accepted into a research program during the summer"","" I started to think that I could actually pursue a related career to physics. My research was in the Biophysics and Physiology department and it concentrated on the pathways of neurotransmission of nociceptors. Every day"","" I always came early in the morning and left late in the evening because I enjoyed observing all of the experiments that my lab members were performing.","Mastery Experience, Physiological/Emotional, Event Triggered",1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,
"I`ve always wanted to work in astrophysics"","" but for a time I thought it wasn`t feasible for me to get a job in such a small field. Then"","" after exploring other subjects"","" I visited the physics department at Michigan Tech"","" and after seeing the cool research being done"","" I knew that was what I wanted to do.","Intrinsic Value (Astronomy), Event Triggered, Cost (Loss of Valued Alternatives), Utility Value",0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,
In high school physical science class was when I first considered being a physics major. My friends and family influenced me to continue the major,Social Persuasion,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,
"I have been interested in physics since high school"","" although my high school physics teacher did not foster an environment in the classroom that encouraged a lot of interest. Upon arriving at Lafayette College with the intention of studying math"","" I enrolled in a special relativity course and found that physics was a topic I would like to pursue further"","" which resulted in me working towards a dual degree in math and physics. During the summer between my second and third years of college"","" I also participated in dark-matter research with a faculty member"","" which further enhanced my interest.","Intrinsic Value, Event Triggered",0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,
"I took many AP science classes my Junior year of HS in Texas"","" and joined clubssuch as Robotics and Academic UIL (competition) as well as volunteer tutoring AP Calculus"","" Chemistry"","" Algebra"","" and physics students after school.My senior year of high school I moved to WA and did Running Start at ColumbiaBasin College"","" which is where you go to college for high school credit. I took an astronomy class at the end of the year and absolutely loved it. I enjoyed working with telescopes and equations so much"","" and I even enjoyed the physics part enough to write my final paper on the Higgs Boson.When it came to registering for classes for my first year of college"","" I just realizedthat I had to be a physics major"","" so I declared on my first day on campus.","Event Triggered, Physiological/Emotional",1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,
I have very little experience in physics or physics-related topics but I have always enjoyed the sciences and am looking forward to learning more.,Physiological/Emotional,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"I was originally a biology major"","" but when I took anatomy and physiology classes I realized that medicine wasn`t for me and I needed to switch majors. I took some CS courses"","" math"","" engineering and physics. I had the most success in physics"","" and I also enjoyed it the most. So"","" I changed my major to physics.","Mastery Experience, Physiological/Emotional",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,
"When I was in high school"","" I remember sitting in Physics II and watching my professor conduct this experiment of putting currents through water (not enough to harm people) but then have students feel the effects when they put two fingers next to each other in the water and then move them apart from each other. I remember being very amazed and knew that I fell in love with the sciences.",Intrinsic Value,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,
"I always thought that physics was an interesting field"","" but thought that I wasn`t smart enough to do well in it (I still think this"","" but I`m trying). I distinctly remember sitting in my bed as a sophomore in high school looking at a picture of the Hubble Deep Field. The description said that every point of light in the image was a galaxy"","" and that absolutely blew my mind. I immediately started looking into physics"","" astrophysics"","" everything I could get my hands on. I fell in love with the field and was so excited to take my first physics courses in high school. It was very difficult for me; since I usually have to take more time and study harder for concepts to stick I sometimes fell behind in my classes. In college"","" I`ve gotten better at learning fast (because I didn`t have another option) but I still struggled and sometimes did poorly on exams. Occasionally I would consider changing to another major because I thought I wasn`t smart enough to do well in physics"","" but then I couldn`t think of any other subject that made me as excited as physics does. It`s hard"","" but I`m trying my best to succeed.","Cost (Emotional), Intrinsic Value, Intrinsic Value (Astronomy), Cost (Task Effort), Physiological/Emotional",1,0,0,0,0,0,0,1,1,0,0,1,0,0,1,
"My freshmen year in college was the first time I took physics. At first"","" it was difficult to understand"","" but after a month studying"","" it started to fascinate me. As an engineer"","" I was required to only take the two general physics classes"","" but instead of stopping there"","" I decided to enroll in more. When I asked the head of department which courses he would recommend me to take"","" he suggested double majoring in physics instead of taking classes as a hobby. During my modern physics class"","" as I was learning about Einstein`s relativity theory and radioactive decay schemes"","" I finally realized what nuclear really is. After that semester"","" I started working on a nuclear energy minor as well. After I graduate from my undergraduate studies"","" I want to continue my nuclear engineering education and become a researcher at a national lab.","Intrinsic Value, Social Persuasion, Utility Value",0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,
"I had a great high school physics teacher"","" who got me interested in physics. When I decided that I want to major in physics in college"","" my parents didn`t object (which I know happened to some of my classmates). Then in college"","" I`ve been doing great in my course work which gave me confidence. I like talking to people who are knowledgeable about physics as well"","" so being in the physics department made me comfortable. Physics gradually becomes something that I am good at as well as interested in.","Vicarious Experience, Mastery Experience, Intrinsic (Social)",0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,
"I work in a live theatre"","" primarily as a sound designer"","" and the physics behind how waves travel started from working in the theatre. This is how I became interested in physic.",Intrinsic Value,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,
"Even though both of my parents are physicists"","" I had no interest in physicsuntil I took my first physics class in college. Even though I did well in physics classesin high school"","" it was not interesting to me until I came to college.The professors at Wellesley College made physics really interesting and that`s why I decided to be a physics major. Some of the courses were verystress-inducing and frustrating"","" but once I got over the initial hump"","" it made things easier. I know there are many more challenges coming my wayin the future"","" but I feel like I could tackle them because I`ve really come to enjoy doing physics.","Vicarious Experience, Mastery Experience, Cost (Emotional), Physiological/Emotional",1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,
"My senior of high school"","" I had to choose between taking physics and biotechnology"","" my two prospective careers. I chose physics because I had just taken an astronomy course and loved it. I also knew I liked physics because of the display of special relativity I saw at New York`s Natural History museum"","" where I bought a book that changed my life. The book is called ""Empire of the Stars by Arthur I. Miller","Utility Value, Physiological/Emotional, Event Triggered, Media Triggered",1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,
